Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
PEX14,0.511064811,15.9452,14.4771,11.5748,24.3557,21.9083,19.7728,7.44282,29.1775,16.7125,0.0087218538118694,405.18413,0.782960892,0.634568378,0.177726551,311.0
CLSTN1,0.500099558,77.9614,53.7231,22.9879,45.7596,102.932,5.47905,8.58892,37.1322,42.6619,-0.0205047937573603,278.07434,0.708272398,0.84421445,0.20212379,39.0
APITD1-CORT,0.3314439950571429,21.580308428571428,31.15007857142858,19.821560857142856,57.64441418571428,63.9093570142857,34.829244428571435,20.835962428571428,71.46342142857144,51.12398857142857,-0.00053479186142616,8.85818,0.146139458,0.008520901,0.07391275455714287,43.0
DFFA,0.500369261,9.168,11.5227,5.61408,27.7305,27.5525,6.043,2.64827,15.1309,12.4945,-0.0156559263385721,180.29756,0.456701487,0.000218371,0.120691734,17.0
TARDBP,0.0,32.1721,56.9888,26.707,96.7138,83.1337,36.2955,15.5799,74.0076,49.934,-0.0049833999986318,2.30437,0.782960892,0.980707837,0.108438827,56.0
EXOSC10,0.521725347,22.8806,32.7148,14.6445,80.0101,72.3668,14.6126,14.9554,57.7925,34.7927,0.0035636426759385,396.49941,0.64767915,1.66e-07,0.171325867,23.0
LZIC,0.0,8.42617,9.87836,8.34395,15.5952,24.3868,5.85235,5.41414,42.2704,11.4357,-0.0149359886159814,27.22008,0.294196963,0.001979247,0.07147799045714288,18.0
CORT,0.503446338,47.8176,2.87259,0.342356,1.1104,1.18869,1.10355,0.390885,20.8735,1.2865,-0.043364808065429,2.07555,0.146139458,0.009837791,0.09244259,3.0
SRM,0.500892896,53.865,40.854,35.1134,163.824,192.738,31.0211,16.8199,55.0919,61.6287,-0.0034375349328048,13.56758,0.72829324,0.869848472,0.053038083,22.0
PGD,0.505381863,31.0861,50.0392,17.8463,127.24,147.424,40.802,661.138,140.798,61.338,-0.0154218080481574,359.50529,0.69566071,0.968660462,0.079799572,67.0
RBP7,0.0,8.56013,41.1529,22.8369,0.350858,0.201551,2.41568,22.0667,11.6135,10.3773,-0.0058133849622597,13.98489,0.316714138,0.408810206,0.053355798,34.0
CTNNBIP1,0.500084815,15.2602,11.1237,18.3438,9.21725,10.5181,6.65702,6.1097,40.6855,10.5899,-0.013367954280736,36.28223,0.718702614,0.02298674,0.099706428,137.0
C1orf200,0.30942660281428574,16.308178428571424,23.352544857142856,12.299157000000001,37.64263528571429,52.730515571428604,16.896288285714295,14.032638571428569,55.03813142857141,31.904779999999988,-0.0011327244351187437,258.40306300000003,0.187832981,0.054923005,0.07664814564285714,4.0
CASZ1,0.507606243,0.262614,8.92063,7.46251,2.07753,0.0808632,1.33833,1.29182,3.62493,1.48049,0.0027761429467517,1083.53567,0.752204061,0.999938476,0.079479202,92.0
KIF1B,0.957427108,31.2909,6.83104,8.35805,3.93289,14.3649,5.08369,6.37837,20.7583,13.0898,-0.031066608410153,705.73842,0.613231182,1.0,0.196569967,642.0
MASP2,0.494209116,0.895447,1.50393,0.932707,3.26945,2.43727,119.574,0.369035,3.93172,2.06929,0.0129951952999424,1037.81374,0.196595117,1.58e-14,0.079247222,127.82857142857142
UBE4B,0.505897851,10.7429,9.04292,13.363,22.9635,32.4056,7.51895,8.58023,17.1083,27.0999,-0.0382513431442413,766.39656,0.705895305,0.999987414,0.078846732,126.0
C1orf127,0.500003513,0.274457,0.0428465,0.272198,0.760611,0.0,0.0507405,0.120571,1.64851,0.138122,0.0066324548899962,698.2923074285713,0.178924084,1.33e-05,0.07706035494285714,41.0
APITD1,0.18799363458571433,15.629649999999998,23.635710285714286,10.956088714285714,20.668476428571438,22.601890081428564,15.655883714285713,13.457840285714289,50.02318142857143,30.09332428571429,0.004735390572942129,878.8369274285714,0.146139458,0.008520901,0.0703708547857143,43.0
